x,y,hue
0.357560187578201,-0.395515559607307,1
0.419263184070587,0.088986088151802,1
0.572205424308777,0.093899826616615,1
0.522558450698853,0.148313530003362,1
0.552147269248962,-0.040202820966562,1
0.426131725311279,0.059893779433156,1
0.438833147287369,-0.162318726834161,1
0.707928001880646,0.416194792127314,1
0.352120101451874,-0.071227302663985,1
0.525954306125641,0.140981736423642,1
0.440037310123444,0.073411994409127,1
0.478139489889145,0.073084192437087,1
0.546758532524109,0.071353591430793,1
0.641936838626862,0.05788315209415,1
0.631502628326416,-0.147258151749832,1
0.556501150131226,-0.059912995050737,1
0.523552477359772,0.070692656123447,1
0.452370584011078,0.127404814562757,1
0.602195262908936,-0.050752083774033,1
0.561184167861938,-0.073359441869668,1
0.543800532817841,0.072874150675757,1
0.383512586355209,0.08773364001299,1
0.56723552942276,0.05934105902095,1
0.530417501926422,0.09906109773609,1
-0.713538765907288,-0.046522551328443,2
-0.794744670391083,0.067359247470649,2
-0.7144655585289,-0.067393902819864,2
-0.764500617980957,-0.082521325133484,2
-0.669481813907623,-0.091110230106677,2
-0.733168423175812,-0.090331683533819,2
-0.671180665493011,-0.093840210629972,2
-0.737704873085022,-0.079350708120347,2
-0.780376315116882,-0.091625151582888,2
-0.750746786594391,-0.103133296053217,2
-0.631296634674072,-0.090520366695942,2
-0.354848206043243,-0.066822937361701,2
-0.817447781562805,-0.08195684721229,2
-0.866705715656281,-0.10750471826224,2
-0.570114016532898,0.17265641295945,2
-0.399026155471802,-0.070630133581577,2
-0.650009572505951,-0.063757928542006,2
-0.815236985683441,-0.131240110490742,2
-0.618090391159058,0.061998860411084,2
-0.56640237569809,0.07532731061874,2
-0.799844026565552,0.070269074148421,2
-0.661002993583679,-0.073783747968664,2
-0.861310362815857,0.054534893785934,2
-0.787729799747467,-0.049783518776156,2
-0.780686676502228,-0.082889759170379,2
-0.66361129283905,-0.073251112437606,2
-0.480736821889877,-0.04895949123939,2
-0.626106858253479,0.119174575102101,2
-0.585921108722687,0.176028975278541,2
-0.562636137008667,-0.079953536762335,2
-0.616338312625885,-0.063636863700026,2
-0.826407074928284,-0.073322463126257,2
-0.753590226173401,0.073248804214099,2
-0.355794578790665,-0.050855536002113,2
-0.55267596244812,-0.147013024652404,2
-0.348804622888565,-0.156492489658887,2
-0.862988471984863,-0.07205941460516,2
-0.690527617931366,-0.160013512747415,2
-0.689676821231842,-0.062617275297585,2
-0.601336300373077,-0.089528256113732,2
-0.557590186595917,-0.051962989388879,2
-0.60238254070282,-0.068472912738781,2
-0.563496112823486,-0.071544267313474,2
-0.778870582580566,0.071721909943426,2
-0.678079843521118,-0.266810280592246,2
-0.604232609272003,-0.050242178989978,2
-0.628863453865051,-0.07750067234622,2
-0.665068209171295,-0.066602987222048,2
-0.665930807590485,-0.08854502233927,2
-0.515321254730225,-0.060611480942397,2
-0.796653628349304,-0.056090610224507,2
-0.636085331439972,-0.058266719365697,2
-0.539100587368011,-0.085060313486537,2
-0.617121338844299,-0.098623136322585,2
-0.492271661758423,-0.043232229849987,2
-0.779271245002747,-0.05423289344864,2
-0.395921289920807,-0.104452065733345,2
-0.766267359256744,-0.119641080791657,2
-0.786018967628479,-0.057525827045858,2
-0.596346199512482,-0.080705081814945,2
-0.630925714969635,-0.200785145570496,2
-0.430181801319122,-0.062574302435776,2
-0.584476709365845,0.070067754624357,2
-0.50972580909729,-0.061688507002697,2
-0.743557810783386,-0.053908688448131,2
-0.868038713932037,0.12419337089181,2
-0.514510631561279,-0.060844458246007,2
-0.710129499435425,-0.11273649148781,2
-0.670823574066162,0.063748478028156,2
