x,y,hue
0.357560187578201,-0.447445464370589,1
0.522558450698853,0.265315803596411,1
0.566946923732758,0.541435121752297,1
0.784952938556671,-0.288139136041092,1
0.277629822492599,-0.286601591154664,1
0.330065965652466,0.230677148695621,1
0.438833147287369,-0.310216586763726,1
0.597473919391632,-0.161449952790339,1
0.343410611152649,0.483097847273721,1
0.505397856235504,-0.194876237324832,1
0.178012758493423,0.275866572060975,1
0.649292707443237,-0.453427662364271,1
0.319717615842819,-0.255765841206763,1
0.679567098617554,0.206030911617598,1
-0.856033980846405,-0.399145708769553,2
-0.780376315116882,0.533582720521397,2
-0.762727975845337,0.52149392696612,2
-0.817447781562805,0.222060840352963,2
-0.556701004505157,0.323326378728243,2
-0.746632695198059,0.617316594179598,2
-0.86091011762619,-0.483960601053029,2
-0.759721457958221,-0.315212280474225,2
-0.586887419223785,-0.531461135489421,2
-0.778389871120453,-0.454324716539777,2
-0.743549227714539,-0.254373052075379,2
-0.511565685272217,-0.701387569264073,2
-0.778870582580566,0.513004100941501,2
-0.887480020523071,0.677637514771381,2
-0.352299332618713,0.806218028427211,2
-0.779271245002747,0.47610148605646,2
-0.627900421619415,-0.766998884185239,2
-0.509099662303925,0.277458825028767,2
-0.788295805454254,-0.341090555588594,2
-0.786018967628479,0.496988243334499,2
-0.584320664405823,-0.425664064109536,2
-0.83417421579361,0.573915286414486,2
-0.717863202095032,0.293926960220066,2
