Var1,weights
ZMYM5,0.612895846366882
CADM4,0.61184424161911
THSD4,0.61047351360321
TAS2R50,0.609235465526581
ZNF394,0.608594000339508
AGO3,0.60262143611908
RFX5,0.602195262908936
ARID3B,0.601458549499512
PPP1R15B,0.597473919391632
CDC42BPA,0.596646070480347
KANSL1,0.596482455730438
SMARCC1,0.594331979751587
MAP3K3,0.594019532203674
HERC3,0.593662023544312
ABCA9,0.591588020324707
HSPBAP1,0.591225385665894
ABCB7,0.58635276556015
VPS54,0.585054695606232
DCAF13P3,0.582211256027222
IGFALS,0.581706047058105
AFF1,0.572205424308777
C5orf24,0.571303367614746
SORBS1,0.56723552942276
C1orf162,0.566946923732758
NFATC3,0.566598236560822
TAS2R13,0.563445866107941
RHOBTB1,0.561184167861938
DSCAML1,0.558398962020874
SENP7,0.557731986045837
IFNAR2,0.557303488254547
PACSIN3,0.556501150131226
VEZF1,0.553282201290131
DIP2A,0.553114295005798
C2CD3,0.552147269248962
CLCN2,0.550422191619873
GAPVD1,0.54888904094696
ANKFY1,0.547802686691284
MGA,0.546758532524109
SMG9,0.545535683631897
YBEY,0.544169783592224
SLC46A3,0.543800532817841
C4orf3,0.542549967765808
CLMN,0.541440904140472
PPP1CC,0.54070246219635
NPIPA8,0.540045976638794
FAM120C,0.539068937301636
ARL13B,0.536179304122925
LRRFIP2,0.535910964012146
ELMOD3,0.534422039985657
CRISPLD1,0.533589124679565
MAP6D1,0.533307790756226
ZNF620,0.532584488391876
CLASRP,0.531628012657166
CEACAM19,0.531208515167236
TMEM39A,0.531099021434784
USP3,0.530417501926422
NFKBIA,0.528506815433502
IL6ST,0.525954306125641
EDIL3,0.523562431335449
PLEKHF1,0.523552477359772
AZGP1,0.522558450698853
MYO1E,0.521677315235138
GNPAT,0.521048784255981
MICB,0.51922482252121
ZFAND4,0.516645550727844
ZNF415,0.515610456466675
FTSJ3,0.514798581600189
THG1L,0.513038754463196
NCAPD2,0.510436534881592
MGC16025,0.508206129074097
TEPSIN,0.505870401859283
SPATA6,0.505397856235504
MFAP3L,0.504435837268829
GIN1,0.504302799701691
NUP205,0.502453625202179
DDX59,0.501512110233307
ACER3,0.500766575336456
LOC284454,0.498317390680313
ZNF692,0.497793108224869
NELFA,0.496521323919296
ZNF518A,0.496145635843277
HNRNPF,0.494191110134125
PNPT1,0.493780434131622
ADAM15,0.490047693252563
TAF1C,0.489422142505646
PKD2,0.488310486078262
HDAC7,0.488294929265976
ZBTB40,0.486931651830673
CYP2U1,0.486836344003677
TRMO,0.486400127410889
ANKRD65,0.484596818685532
NSUN2,0.48429411649704
CRTC3,0.483391553163528
GABPA,0.480920225381851
NOB1,0.48066321015358
LOXL2,0.478139489889145
PATL1,0.477395683526993
POMT2,0.476689070463181
TAF3,0.475520670413971
POU3F3,0.472584098577499
ATAD2B,0.472123980522156
LRIG2,0.469147205352783
CEP135,0.468982756137848
CNTLN,0.461865276098251
MGC27345,0.461338698863983
IL6R,0.459869533777237
ZFYVE26,0.458332628011703
PRR22,0.455702483654022
ALG2,0.454671084880829
PPP1R3D,0.452370584011078
SPACA6,0.449967622756958
DPY19L4,0.449125349521637
NIPBL,0.447900950908661
GNG7,0.446547359228134
SIAH2,0.444538414478302
LONRF3,0.440037310123444
EDN3,0.438833147287369
ERG,0.438392102718353
ECD,0.438286572694778
DPM3,0.436736673116684
FLT4,0.435171484947205
OMG,0.432502269744873
RAB30,0.429333478212357
AHSA2P,0.427342712879181
C5orf56,0.426291793584824
DCLRE1C,0.426131725311279
KCNV2,0.423600733280182
KTN1,0.422313064336777
METTL3,0.42078423500061
PDPR,0.420279622077942
ABHD3,0.419263184070587
AKT1S1,0.415256142616272
ZBTB47,0.414433985948563
IRF2,0.41410955786705
LRIG3,0.410540908575058
RASL11A,0.408767998218536
CGN,0.408348619937897
CFAP53,0.403292238712311
NOSTRIN,0.401512145996094
RASSF8-AS1,0.400726735591888
RALGAPB,0.398991018533707
