Var1,weights
PRKCD,0.922691702842712
IFT22,0.918144643306732
PPP4R4,0.897807419300079
SSTR1,0.896476268768311
TMSB10,0.895697414875031
RBP4,0.893860995769501
CHCHD6,0.891998291015625
GGCT,0.891096353530884
SNCA,0.890713632106781
PID1,0.890532612800598
EFNB3,0.889573693275452
SHISAL1,0.88873827457428
NT5DC3,0.887480020523071
WNT10B,0.887380361557007
TMEM263,0.885342180728912
FXYD6,0.883553028106689
TUBB8P12,0.883341014385223
CETN2,0.882853984832764
NOV,0.880101144313812
DTNBP1,0.877069890499115
TUBB2A,0.87373822927475
LOC100288911,0.87318229675293
DYDC2,0.869680821895599
SLC26A4-AS1,0.869269907474518
TUBB6,0.868038713932037
C11orf97,0.866860628128052
CGREF1,0.866705715656281
PLPPR2,0.864750802516937
PCDH20,0.864714324474335
SVOP,0.863236486911774
HTR7P1,0.863127112388611
KIF21B,0.862988471984863
MCUB,0.862284421920776
FADS3,0.861310362815857
DOK6,0.86091011762619
GMFB,0.860514104366302
FKBP1A,0.858401954174042
POLE4,0.856809854507446
AP3S1,0.856033980846405
MSANTD1,0.855015993118286
CRIP2,0.854437053203583
C8orf46,0.854316473007202
KLK7,0.853813767433167
ERFE,0.853537976741791
MTCH1,0.852252006530762
CENPVL3,0.850087821483612
NUDT11,0.848724782466888
TXN,0.845148682594299
C5orf49,0.841419696807861
HSD11B1L,0.839325904846191
HTR7,0.837153136730194
TMEM130,0.83417421579361
GDA,0.833823978900909
FKBP1B,0.83338463306427
UFC1,0.831583917140961
LINC01140,0.831327617168427
DOC2A,0.831304132938385
MOB1B,0.829315960407257
HRAS,0.826407074928284
TIMM10,0.824027180671692
MRAS,0.82392030954361
C20orf27,0.823262393474579
RNF150,0.822623908519745
C1S,0.821573257446289
SMIM10L2A,0.82155454158783
RTN4RL2,0.821088671684265
CYB5D2,0.819921851158142
LSM4,0.817949295043945
CDKN2D,0.817447781562805
MAGED1,0.816653609275818
GSKIP,0.816598534584045
SMIM29,0.815814554691315
HRH1,0.815589547157288
CRYM,0.815236985683441
LMO3,0.815018236637115
FREM3,0.814793765544891
TOM1L1,0.814183175563812
SNHG8,0.813998281955719
CD83,0.813024282455444
LYPD8,0.810986340045929
KCNMB4,0.810229241847992
MUM1L1,0.807085633277893
LRRC73,0.806337952613831
DCAF11,0.805944442749023
GPR68,0.803301513195038
HRASLS,0.802254199981689
PEX19,0.801748871803284
DDAH1,0.799844026565552
SKAP2,0.799745917320251
B3GALT6,0.798738718032837
CMSS1,0.798597693443298
PSMB7,0.796653628349304
ARHGEF28,0.794744670391083
C2orf80,0.794373333454132
SUB1,0.793351650238037
RAB35,0.793129682540894
NDUFAF8,0.792811334133148
TM2D3,0.791384041309357
TSPAN33,0.7908536195755
MTA3,0.790356636047363
CNTN1,0.790218234062195
NUDT10,0.78909695148468
EPOP,0.788955628871918
SH3RF1,0.788295805454254
RASL11B,0.788220345973969
FBXO2,0.787729799747467
SLC35A2,0.786049664020538
STOML1,0.786018967628479
ANO3,0.785826683044434
RNF7,0.784298658370972
IFT27,0.783582746982574
XYLT1,0.783066391944885
UCHL1,0.782322585582733
SNRNP27,0.782252073287964
FAM102B,0.782182812690735
FDPS,0.780686676502228
B3GALNT1,0.780497968196869
CA11,0.780376315116882
CTC1,0.779456377029419
RUNDC3A,0.779271245002747
BABAM2,0.778883099555969
NISCH,0.778870582580566
ACOT2,0.778545081615448
DPCD,0.778494536876678
ME1,0.778389871120453
NIT2,0.777941763401031
CDH10,0.777379870414734
DPF1,0.777202367782593
SELENOW,0.775187849998474
DDX10,0.774213910102844
SPINT2,0.773403406143188
DGKB,0.773261249065399
RAB3C,0.772988080978394
JPT1,0.770886600017548
ARL16,0.769700706005096
THTPA,0.767624258995056
SP5,0.766890525817871
SH2D5,0.766411304473877
SPON2,0.766267359256744
DYNLL1,0.76603889465332
PTER,0.765616655349731
YWHAH,0.765368461608887
CEP170B,0.765148401260376
ARPP19,0.764500617980957
CCDC3,0.762727975845337
DYRK2,0.761191129684448
C3orf14,0.760470986366272
LY86-AS1,0.760441899299622
E2F3,0.759721457958221
TMEM106C,0.759568631649017
COPS4,0.759357810020447
ORC6,0.757445573806763
VSTM2L,0.755367398262024
HMGCR,0.755189955234528
GABBR1,0.754687130451202
LOC728392,0.754450500011444
SNAPC5,0.753930866718292
NFKBIE,0.753695249557495
KCNA5,0.753590226173401
MKL2,0.751820802688599
PSORS1C1,0.751024723052979
CACNG3,0.750746786594391
BCRP2,0.750529110431671
EFNB2,0.75005316734314
VPS26B,0.749956130981445
VIT,0.749332249164581
BRWD1,0.748760461807251
CDH8,0.748224377632141
AP3M2,0.746762037277222
DEAF1,0.746632695198059
ARMCX1,0.745141863822937
PTRH1,0.744414925575256
SRM,0.744136929512024
TTPAL,0.743557810783386
MPHOSPH6,0.743549227714539
PRNP,0.742567539215088
EPHA10,0.741405129432678
SLC26A4,0.741210281848907
SMIM10L2B,0.739772796630859
JMJD4,0.739050447940826
CA10,0.737704873085022
PRMT2,0.735722899436951
IL34,0.73545503616333
SSTR2,0.734571933746338
PNMA8A,0.734202206134796
WTIP,0.733860969543457
MRPL37,0.733210742473602
B4GALT2,0.733168423175812
COG1,0.732764303684235
DZIP3,0.732197821140289
STX12,0.732082605361938
KIAA1024,0.731326222419739
TMEM17,0.730616450309753
LINC00461,0.730117201805115
NEDD4L,0.729609549045563
PDGFC,0.728014945983887
MZT2A,0.727922558784485
GAP43,0.727873980998993
RTL8C,0.724600374698639
ST6GALNAC6,0.722941279411316
